icd11_code,clinical_title,plain_en,plain_sw,synonyms,abbreviations,body_system,is_notifiable,sensitivity,review_status
KA21,Birth asphyxia,Your baby did not get enough oxygen around the time of birth,Mtoto hakupata hewa ya kutosha wakati wa kuzaliwa,birth asphyxia|HIE|failure to breathe at birth,HIE,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KA60,Neonatal sepsis,Your newborn had an infection in the blood,Mtoto mchanga alikuwa na maambukizi kwenye damu,neonatal sepsis|newborn infection,NNS,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KA62,Neonatal pneumonia,Your newborn had an infection in the lungs,Mtoto mchanga alikuwa na maambukizi kwenye mapafu,neonatal pneumonia,,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KA40,Preterm birth,Your baby was born before the pregnancy was complete,Mtoto alizaliwa kabla ya mimba kutimia,prematurity|preterm|premature baby|mtoto njiti,,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KA41,Low birth weight,Your baby weighed less than expected at birth,Mtoto alizaliwa akiwa na uzito mdogo kuliko unavyotarajiwa,low birth weight|LBW|uzito mdogo,LBW,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KA42,Very low birth weight,Your baby was born very small and needed special care,Mtoto alizaliwa akiwa mdogo sana na alihitaji uangalizi maalum,very low birth weight|VLBW,VLBW,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KB60,Respiratory distress of newborn,Your newborn had difficulty breathing after birth,Mtoto mchanga alipata shida ya kupumua baada ya kuzaliwa,respiratory distress syndrome|RDS|newborn breathing difficulty,RDS,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KA20.0,Neonatal jaundice needing phototherapy,Your baby was yellow and needed light treatment,Mtoto alikuwa wa njano na alihitaji matibabu ya mwanga,phototherapy|severe neonatal jaundice,,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5B50.0,Severe acute malnutrition,Your child was severely underweight and needed feeding treatment,Mtoto alikuwa na utapiamlo mkali na alihitaji matibabu ya lishe,severe acute malnutrition|SAM|utapiamlo mkali,SAM,nutrition,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5B50.1,Moderate acute malnutrition,Your child was underweight and needed extra feeding,Mtoto alikuwa na uzito mdogo na alihitaji chakula cha ziada,moderate acute malnutrition|MAM,MAM,nutrition,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5B51,Kwashiorkor,Your child had malnutrition with swelling of the body,Mtoto alikuwa na utapiamlo pamoja na kuvimba mwili,kwashiorkor|oedematous malnutrition,,nutrition,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5B52,Marasmus,Your child had severe wasting from lack of food,Mtoto alikonda sana kwa ukosefu wa chakula,marasmus|severe wasting,,nutrition,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5B53,Stunting,Your child is shorter than expected for their age,Mtoto ni mfupi kuliko inavyotarajiwa kwa umri wake,stunting|kudumaa|chronic malnutrition,,nutrition,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1A40.0,Gastroenteritis with some dehydration,Diarrhoea made your child lose some body fluid,Kuhara kulimfanya mtoto apoteze maji mwilini kiasi,some dehydration|diarrhoea with dehydration,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1A40.1,Gastroenteritis with severe dehydration,Diarrhoea made your child lose a dangerous amount of fluid,Kuhara kulimfanya mtoto apoteze maji mengi kwa hatari,severe dehydration|severe diarrhoea,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1A40.2,Persistent diarrhoea,Diarrhoea lasted more than two weeks,Kuhara kuliendelea zaidi ya wiki mbili,persistent diarrhoea|chronic diarrhoea,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
QA10,Immunisation visit,You came to have a vaccine given,Ulikuja kupewa chanjo,immunisation|vaccination|chanjo,EPI,general,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
QA11,Incomplete immunisation status,Some of your child's vaccines are still due,Baadhi ya chanjo za mtoto bado hazijatolewa,defaulter|incomplete immunisation|missed vaccine,,general,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
QA21,Family planning visit,You came to discuss or receive family planning,Ulikuja kujadili au kupata uzazi wa mpango,family planning|contraception|uzazi wa mpango,FP,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
GA30,Infertility,You have had difficulty becoming pregnant,Umekuwa na ugumu wa kupata mimba,infertility|unable to conceive|kukosa mtoto,,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
GA20,Abnormal uterine bleeding,You had unusual bleeding from the womb,Ulivuja damu isiyo ya kawaida kutoka kwenye mji wa mimba,abnormal uterine bleeding|heavy periods|AUB,AUB,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
GA10,Pelvic inflammatory disease,You had an infection of the womb and tubes,Ulikuwa na maambukizi ya mji wa mimba na mirija,pelvic inflammatory disease|PID,PID,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
GA05,Vaginal candidiasis,You had a yeast infection causing itching and discharge,Ulikuwa na maambukizi ya fangasi yaliyosababisha kuwashwa na majimaji,vaginal thrush|candidiasis|fangasi ukeni,,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
GA02,Bacterial vaginosis,The normal balance of germs in the vagina changed,Uwiano wa kawaida wa vijidudu ukeni ulibadilika,bacterial vaginosis|BV,BV,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1A91,Trichomoniasis,You had an infection passed on during sex causing discharge,Ulikuwa na maambukizi yaliyoambukizwa kwa ngono yakisababisha majimaji,trichomonas|trichomoniasis,,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1A94,Gonorrhoea,You had gonorrhoea an infection passed on during sex,Ulikuwa na kisonono maambukizi yanayoambukizwa kwa ngono,gonorrhoea|kisonono|GC|urethral discharge,GC,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1A95,Chlamydial infection,You had chlamydia an infection passed on during sex,Ulikuwa na klamidia maambukizi yanayoambukizwa kwa ngono,chlamydia|chlamydial infection,,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1A61,Syphilis,You had syphilis an infection passed on during sex,Ulikuwa na kaswende maambukizi yanayoambukizwa kwa ngono,syphilis|kaswende|VDRL positive,,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1A93,Genital herpes,You had a viral infection causing sores in the genital area,Ulikuwa na maambukizi ya virusi yaliyosababisha vidonda sehemu za siri,genital herpes|HSV,HSV,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1A90,Urethral discharge syndrome,You had discharge from the water pipe treated as a sexual infection,Ulikuwa na majimaji kwenye njia ya mkojo yaliyotibiwa kama maambukizi ya ngono,urethral discharge|UDS|male discharge,UDS,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1A96,Genital ulcer disease,You had sores in the genital area,Ulikuwa na vidonda sehemu za siri,genital ulcer|GUD,GUD,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
QA43,Post-exposure prophylaxis,You were given medicine to prevent infection after an exposure,Ulipewa dawa ya kuzuia maambukizi baada ya kuwa hatarini,PEP|post exposure prophylaxis,PEP,infectious,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
QA44,Pre-exposure prophylaxis,You are taking medicine to prevent HIV infection,Unatumia dawa ya kuzuia maambukizi ya HIV,PrEP|pre exposure prophylaxis,PrEP,infectious,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
QE82,Sexual assault,You were seen after sexual violence,Ulionwa baada ya ukatili wa kingono,sexual assault|rape|defilement|GBV,SGBV,injury,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
QE81,Intimate partner violence,You were harmed by a partner,Ulidhuriwa na mwenzi wako,domestic violence|intimate partner violence|GBV,IPV|GBV,injury,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
QE80,Child maltreatment,A child was harmed or neglected,Mtoto alidhuriwa au kupuuzwa,child abuse|child neglect|maltreatment,,injury,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
QE85,Female genital mutilation,You have had cutting of the genital area,Umefanyiwa ukeketaji sehemu za siri,female genital mutilation|FGM|ukeketaji,FGM,genitourinary,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
BA00.0,Hypertensive urgency,Your blood pressure was dangerously high,Shinikizo la damu lilikuwa juu kwa hatari,hypertensive urgency|very high BP|presha juu sana,,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BA01,Hypertensive heart disease,Long-standing high blood pressure has strained your heart,Shinikizo la damu la muda mrefu limeulemea moyo,hypertensive heart disease|HHD,HHD,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BA02,Hypertensive renal disease,Long-standing high blood pressure has damaged your kidneys,Shinikizo la damu la muda mrefu limeharibu figo,hypertensive kidney disease|hypertensive nephropathy,,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BA41.0,Acute myocardial infarction,You had a heart attack,Ulipata mshtuko wa moyo,heart attack|myocardial infarction|MI|STEMI,MI|AMI|STEMI,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BA40,Angina pectoris,You had chest pain because your heart was short of blood,Ulikuwa na maumivu ya kifua kwa sababu moyo ulikosa damu ya kutosha,angina|chest pain of the heart,,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BC81,Rheumatic heart disease,A childhood infection damaged your heart valves,Maambukizi ya utotoni yaliharibu vali za moyo,rheumatic heart disease|RHD|valve disease,RHD,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B40,Acute rheumatic fever,An untreated throat infection caused fever and joint pain,Maambukizi ya koo yasiyotibiwa yalisababisha homa na maumivu ya viungo,rheumatic fever|ARF,ARF,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BC43,Cardiomyopathy,The muscle of your heart is weakened or enlarged,Misuli ya moyo wako imedhoofika au kupanuka,cardiomyopathy|enlarged heart|DCM,DCM,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BC71,Atrial fibrillation,Your heart has been beating in an irregular rhythm,Moyo wako umekuwa ukipiga kwa mpigo usio wa kawaida,atrial fibrillation|irregular heartbeat|AF,AF|AFib,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BD40,Deep vein thrombosis,A blood clot formed in a deep vein in your leg,Damu iliganda kwenye mshipa wa ndani wa mguu,deep vein thrombosis|DVT|blood clot leg,DVT,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BB00,Pulmonary embolism,A blood clot travelled to your lungs,Damu iliyoganda ilisafiri hadi mapafuni,pulmonary embolism|PE|clot in lung,PE,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
BD54,Peripheral arterial disease,The blood flow to your legs is reduced,Damu inayofika miguuni imepungua,peripheral arterial disease|PAD|poor circulation,PAD,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8B20.0,Ischaemic stroke,A blocked blood vessel cut off blood to part of your brain,Mshipa uliozibwa ulikata damu kwenda sehemu ya ubongo,ischaemic stroke|brain infarct,CVA,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8B00,Intracerebral haemorrhage,There was bleeding inside your brain,Kulikuwa na kuvuja damu ndani ya ubongo,brain bleed|haemorrhagic stroke|intracerebral haemorrhage,ICH,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8B25,Transient ischaemic attack,You had stroke-like symptoms that passed quickly,Ulipata dalili kama za kiharusi zilizoisha haraka,TIA|mini stroke|transient ischaemic attack,TIA,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A11.0,Type 2 diabetes with foot ulcer,Diabetes caused a wound on your foot that heals slowly,Kisukari kilisababisha kidonda mguuni kinachopona polepole,diabetic foot|diabetic foot ulcer|kidonda cha kisukari,DFU,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A11.1,Type 2 diabetes with nephropathy,Diabetes has affected your kidneys,Kisukari kimeathiri figo zako,diabetic nephropathy|diabetic kidney disease,,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A11.2,Type 2 diabetes with retinopathy,Diabetes has affected the back of your eyes,Kisukari kimeathiri sehemu ya nyuma ya macho,diabetic retinopathy|diabetic eye disease,DR,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A11.3,Type 2 diabetes with neuropathy,Diabetes has affected the nerves in your feet and hands,Kisukari kimeathiri neva za miguu na mikono,diabetic neuropathy|numbness in feet,,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A22,Diabetic ketoacidosis,Very high blood sugar made your blood turn acidic,Sukari juu sana ilifanya damu kuwa na asidi,diabetic ketoacidosis|DKA,DKA,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A23,Hyperosmolar hyperglycaemic state,Very high blood sugar caused severe dehydration,Sukari juu sana ilisababisha upungufu mkubwa wa maji mwilini,hyperosmolar state|HHS,HHS,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A41,Hypoglycaemia,Your blood sugar dropped too low,Sukari kwenye damu ilishuka chini sana,hypoglycaemia|low blood sugar|sugar imeshuka,,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A00,Hypothyroidism,Your thyroid gland is not making enough hormone,Tezi ya shingo haitengenezi homoni ya kutosha,hypothyroidism|underactive thyroid,,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A02,Hyperthyroidism,Your thyroid gland is making too much hormone,Tezi ya shingo inatengeneza homoni nyingi kupita kiasi,hyperthyroidism|overactive thyroid|thyrotoxicosis,,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5A03,Goitre,The gland in your neck became enlarged,Tezi ya shingo ilipanuka,goitre|swollen neck gland|tezi,,endocrine,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5B81,Obesity,Your weight is above the healthy range for your height,Uzito wako uko juu ya kiwango cha afya kwa urefu wako,obesity|overweight|unene kupita kiasi,,nutrition,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
FA25,Gout,Crystals built up in a joint causing sudden severe pain,Chembechembe zilijikusanya kwenye kiungo na kusababisha maumivu makali ghafla,gout|gouty arthritis,,musculoskeletal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GB61,Chronic kidney disease,Your kidneys have been losing function over time,Figo zako zimekuwa zikipoteza uwezo wa kufanya kazi,chronic kidney disease|CKD|renal failure|kidney failure,CKD,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GB60,Acute kidney injury,Your kidneys suddenly stopped working properly,Figo zako ziliacha kufanya kazi vizuri ghafla,acute kidney injury|AKI|acute renal failure,AKI,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GB40,Nephrotic syndrome,Your kidneys leaked protein causing swelling,Figo zako zilivuja protini na kusababisha kuvimba,nephrotic syndrome|protein in urine with swelling,,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GB41,Acute glomerulonephritis,The filters in your kidneys became inflamed,Vichujio vya figo vilivimba,glomerulonephritis|AGN|blood in urine kidney,AGN,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GB70,Kidney stones,A hard stone formed in your urinary system,Jiwe gumu liliundwa kwenye mfumo wa mkojo,kidney stones|renal calculi|mawe kwenye figo,,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GC08.0,Acute pyelonephritis,An infection reached your kidney,Maambukizi yalifika kwenye figo,pyelonephritis|kidney infection,,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GA90,Benign prostatic hyperplasia,Your prostate gland is enlarged and makes passing urine harder,Tezi ya kibofu imepanuka na kufanya kukojoa kuwa vigumu,enlarged prostate|BPH|prostate,BPH,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GB05,Urinary retention,You were unable to pass urine,Ulishindwa kukojoa,urinary retention|cannot pass urine|kushindwa kukojoa,,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GA81,Epididymo-orchitis,The testicle and its tube became infected and painful,Korodani na mrija wake vilipata maambukizi na maumivu,epididymo orchitis|testicular infection,,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
GA82,Testicular torsion,The testicle twisted and lost its blood supply,Korodani ilijisokota na kukosa damu,testicular torsion|twisted testicle,,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
3A01,Megaloblastic anaemia,You had too few red blood cells due to low vitamin B12 or folate,Ulikuwa na chembechembe nyekundu chache kwa upungufu wa vitamini B12 au folate,megaloblastic anaemia|B12 deficiency|folate deficiency,,blood,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
3A20,Sickle cell disease,You have an inherited condition that changes the shape of red blood cells,Una hali ya kurithi inayobadilisha umbo la chembechembe nyekundu za damu,sickle cell|sickle cell anaemia|selimundu,SCD,blood,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
3A21,Sickle cell crisis,Sickle cell disease caused a painful episode,Selimundu ilisababisha kipindi cha maumivu makali,sickle cell crisis|painful crisis|vaso occlusive crisis,VOC,blood,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
3B60,Thrombocytopenia,You had too few platelets which help blood to clot,Ulikuwa na chembe sahani chache zinazosaidia damu kuganda,thrombocytopenia|low platelets,,blood,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2C77,Cervical cancer,You have cancer of the neck of the womb,Una saratani ya mlango wa kizazi,cervical cancer|cancer of cervix|saratani ya mlango wa kizazi,CA cervix,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2C76,Cervical intraepithelial neoplasia,Early changes were found on the neck of the womb,Mabadiliko ya awali yalionekana kwenye mlango wa kizazi,CIN|precancerous cervix|VIA positive,CIN,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2C60,Breast cancer,You have cancer of the breast,Una saratani ya matiti,breast cancer|saratani ya matiti|CA breast,CA breast,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2C82,Prostate cancer,You have cancer of the prostate gland,Una saratani ya tezi ya kibofu,prostate cancer|CA prostate|saratani ya kibofu,CA prostate,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2B70,Oesophageal cancer,You have cancer of the food pipe,Una saratani ya koo la chakula,oesophageal cancer|esophageal cancer|CA oesophagus,,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2B5F,Kaposi sarcoma,You have a cancer that shows as dark patches on the skin,Una saratani inayojitokeza kama madoa meusi kwenye ngozi,kaposi sarcoma|KS,KS,neoplasm,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
2B33,Non-Hodgkin lymphoma,You have a cancer of the lymph glands,Una saratani ya tezi za limfu,non hodgkin lymphoma|NHL|lymphoma,NHL,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2B31,Burkitt lymphoma,Your child has a fast-growing cancer of the lymph glands,Mtoto ana saratani ya tezi za limfu inayokua haraka,burkitt lymphoma|burkitt tumour,,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2A60,Acute leukaemia,You have a cancer of the blood-forming cells,Una saratani ya seli zinazotengeneza damu,leukaemia|acute leukaemia|blood cancer|ALL|AML,ALL|AML,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2C90,Retinoblastoma,Your child has a cancer inside the eye,Mtoto ana saratani ndani ya jicho,retinoblastoma|eye cancer child|white pupil,RB,neoplasm,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
2E86,Uterine fibroids,You have non-cancerous growths in the womb,Una uvimbe usio wa saratani kwenye mji wa mimba,fibroids|uterine fibroids|myoma|vivimbe kwenye kizazi,,genitourinary,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
6A20,Schizophrenia,You have been experiencing a condition affecting how you think and perceive,Umekuwa na hali inayoathiri jinsi unavyofikiri na kuhisi,schizophrenia|psychosis,,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6A23,Acute psychotic episode,You had a period of losing touch with reality,Ulipata kipindi cha kupoteza uhalisia,acute psychosis|psychotic episode|kichaa,,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6A60,Bipolar disorder,Your mood has swung between very high and very low,Hisia zako zimebadilika kati ya furaha kupita kiasi na huzuni,bipolar|bipolar disorder|manic depression,BAD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6A71,Recurrent depressive disorder,Low mood has returned more than once,Huzuni imerudi zaidi ya mara moja,recurrent depression|MDD recurrent,,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6A73,Postpartum depression,You have had low mood since giving birth,Umekuwa na huzuni tangu ulipojifungua,postnatal depression|postpartum depression,PPD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6B00,Generalised anxiety disorder,You have had constant worry that is hard to control,Umekuwa na wasiwasi wa kudumu ambao ni vigumu kudhibiti,generalised anxiety|GAD|worry,GAD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6B01,Panic disorder,You have had sudden attacks of intense fear,Umepata mashambulizi ya ghafla ya hofu kubwa,panic disorder|panic attacks,,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6B40,Post-traumatic stress disorder,You have had lasting distress after a frightening event,Umekuwa na msongo wa kudumu baada ya tukio la kutisha,PTSD|post traumatic stress,PTSD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6B43,Adjustment disorder,You have found it hard to cope after a difficult life change,Umepata ugumu kukabiliana na mabadiliko magumu maishani,adjustment disorder|stress reaction,,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6C41,Cannabis use disorder,Cannabis use has been affecting your health,Matumizi ya bangi yameathiri afya yako,cannabis use disorder|bhang|bangi|marijuana,,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6C43,Opioid use disorder,Opioid use has been affecting your health,Matumizi ya dawa za kulevya aina ya opioid yameathiri afya yako,opioid use disorder|heroin|unga,OUD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6C4A,Tobacco use disorder,Tobacco use has been affecting your health,Matumizi ya tumbaku yameathiri afya yako,smoking|tobacco dependence|nicotine,,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6C40.0,Alcohol withdrawal,Your body reacted when you stopped drinking alcohol,Mwili wako uliathirika ulipoacha kunywa pombe,alcohol withdrawal|delirium tremens,DT,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
MB23.0,Self-harm,You harmed yourself deliberately,Ulijidhuru kwa makusudi,self harm|deliberate self harm|suicide attempt,DSH,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
MB26.A,Suicidal ideation,You have had thoughts of ending your life,Umekuwa na mawazo ya kujiua,suicidal thoughts|suicidal ideation|mawazo ya kujiua,,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6A05,Attention deficit hyperactivity disorder,Your child finds it hard to concentrate and sit still,Mtoto anapata ugumu kuzingatia na kutulia,ADHD|hyperactivity|attention deficit,ADHD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6D80,Dementia,Your memory and thinking have been declining,Kumbukumbu na uwezo wako wa kufikiri vimekuwa vikipungua,dementia|memory loss|alzheimer,,nervous,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
8A80.0,Febrile seizure,Your child had a fit brought on by a high fever,Mtoto alipata kifafa kilichosababishwa na homa kali,febrile convulsion|febrile seizure|fits with fever,,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8A82,Status epilepticus,A seizure lasted too long or kept repeating,Kifafa kilidumu muda mrefu au kilirudia mfululizo,status epilepticus|prolonged seizure,SE,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8A80.1,Cerebral palsy,Your child has a lasting difficulty with movement from early brain injury,Mtoto ana ugumu wa kudumu wa kutembea kutokana na jeraha la ubongo la mapema,cerebral palsy|CP,CP,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8A00,Migraine,You had severe headaches often with light sensitivity,Ulikuwa na maumivu makali ya kichwa mara nyingi ukichukia mwanga,migraine|severe headache,,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8A01,Tension-type headache,You had a tight band-like headache,Ulikuwa na maumivu ya kichwa kama ya kubanwa,tension headache|stress headache,TTH,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8B60,Peripheral neuropathy,The nerves in your hands or feet are not working properly,Neva za mikono au miguu hazifanyi kazi vizuri,peripheral neuropathy|nerve damage|numbness,,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8B61,Bell palsy,One side of your face became weak suddenly,Upande mmoja wa uso ulidhoofika ghafla,bell palsy|facial nerve palsy|facial weakness,,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8B88,Hydrocephalus,Fluid built up inside your child's head,Maji yalijikusanya ndani ya kichwa cha mtoto,hydrocephalus|water on the brain|big head,,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
LA43,Cleft lip and palate,Your baby was born with a gap in the lip or roof of the mouth,Mtoto alizaliwa na mwanya kwenye mdomo au paa la kinywa,cleft lip|cleft palate|midomo sungura,,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
LA8Z,Congenital heart disease,Your baby was born with a problem in the heart,Mtoto alizaliwa na tatizo la moyo,congenital heart disease|hole in the heart|CHD|VSD,CHD|VSD,circulatory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
DB10,Appendicitis,Your appendix became inflamed and needed removal,Kidole tumbo kilivimba na kilihitaji kutolewa,appendicitis|appendix|kidole tumbo,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
DD50,Inguinal hernia,Part of your bowel pushed through a weak spot in the groin,Sehemu ya utumbo ilisukuma kwenye eneo dhaifu la kinena,inguinal hernia|hernia|ngiri,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
DD52,Strangulated hernia,A hernia trapped bowel and cut off its blood supply,Ngiri ilinasa utumbo na kukata damu,strangulated hernia|obstructed hernia,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
